Place,Date,Designation,Review
"Marginal Anhanguera, Jundiaí, São Paulo",2016-01-06,Almoxarife,"Boa empresa, respeita horários e datas, oferece bons benefícios não salariais, pagamento justo e compatível, equipe de trabalho amigável, o ambiente é bastante tranquilo apesar da correria dos serviços, é o estresse comum  de qualquer empresa que tenha grandes volumes para serem expedidos, as promoções ou aumentos não vêm por acaso ou o superior foi dispensado ou alguém do nível desejado viu e gostou do seu serviço e a falta de progressão de funções (para que o colaborador possa aprender mais e poder oferecer outros serviços para a empresa), e tem um quantidade grande de focais, controladores, líderes, supervisores, analistas, coordenadores, são muitos chefes para responder. Mesmo assim é um bom lugar para trabalhar e problemas pessoais existem em qualquer empresa."
"Jundiaí, SP",2016-01-05,Operador de Produção - Líder de Linha Jr,"Òtima empresa, que me concedeu a oportunidade de aprender muito em todo o processo de produção, e isso me motivava muito."
"Houston, TX",2016-01-04,Computer Technician,The good think in this company is start your day early .And hardest part of this job is communicate with co-workers because they doesn't speak English
"Houston, TX",2016-01-04,Computer Technician,The best think in this company is start your day early in the morning And this what I likeThe hardest part of this job is hard to communicate with my co-workers .Because they doesn't speak English.
"San Jeronimo, Chihuahua",2016-01-04,Cost Management analyst,"I had learned to be professional and hard worker, since is an oriental company, they like perfection and to be exact, concrete on what you do and said. These were the things i loved working here."
"Jundiaí, SP",2016-01-02,Operador de Produção,Empresa muito boa para se trabalhar com otimos beneficios porém não tem muita estabilidade com os funcionarios
"Jundiaí, SP",2016-01-02,Montadora Iphone,"Empresa muito bem organizada, de fácil adaptação, tanto no ambiante organizacional como no trabalho executado, motivação para colaboradores."
"Ciudad Juárez, CHH",2016-01-02,tecnico de calidad,"se cuanta con un buen ambiente de trabajo, se cuenta con tiempo extra, y cuenta con todas las prestaciones de ley."
"Ciudad Juárez, CHH",2015-12-30,Supervisor de Produccion,"llegar temprano para poder recibir turno de supervisor a supervisor ,,, Revisar cuantas unidades tenían problemas de ing. o scrap y dar seguimientoRevisar el FCT y mandar reporte al final como cerrar las ordenes y los pendientes para que le dieran seguimiento en el siguiente turno.Dar seguimiento a lo planeado por la mañana y prioridades.Platicar con la gerencia cuantas lineas inicianRevisar cual es COMMITJunta Con perosnla Operativo indicando el plan de ese dia.Ver los Recursos humanos para Balancear las lineas de acuerdo a lo planeadoRevisar como Hiba el COMMIT  a diferentes Horas y planear tiempo extra de ser necesarioRevisar Rotación de personal Revisar Vacaciones y permisos. trabajo de Escritorio.al final dar las gracias por el esfuerzo de los operadores. Motivación"
"Cd. Juarez, Chih.",2015-12-30,inspector calidad,"Hay muchas operaciones para aprender, y hay muchas áreas en las que puedes aplicar, aparte es muy fácil seguir escalando, el trabajo que se realiza es muy sencillo y el operador no se desgasta físicamente."
"Jundiaí, SP",2015-12-29,Operador de Produção I,"Local super agradável de se trabalhar,mas infelizmente é muito difícil ficar lá por muito tempo."
"Kulai, M01",2015-12-29,Technicion,"working hour are 12 hour per day. week working only 3 days or 4 days.many thing can be learn at this company. pneumatic system, valve system, tooling, part-part of machine."
"Komárom, KE",2015-12-29,Warehouse Operative / Order Picker,"I have been worked there for one and half year, I have met a lot of new people. I was an order picker and I like this type of job."
FOXCONN BRASIL INDÚSTRIA E COMÉRCIO LTDA*,2015-12-27,Líder de Produção,Ao chegar a empresa encontrar os colegas de trabalho executando suas funçoes.
"Pardubice , Czech Republic",2015-12-17,Buyer,"I did create the order for the spare parts, did the invoices, deal with internationals and locals suppliers as well. Work closely with other department eg.  quality, spare parts, warehouse."
"Jundiaí, SP",2015-12-11,produçao,sempre ser organizado ser bom no que faz fazer com que costem do seu serviço empresa que valorisa seu funcionario para que ele sempre esteja disposto ha trabalhar feliz.
"Jundiaí, SP",2015-12-10,Operador de Produção,"Uma empresa de grande nome, com ótimas remunerações, porém ela não é apta a dar oportunidades de crescimento para funcionários de dentro da empresa, preferindo contratar profissionais experientes para certas funções."
"Jundiaí, SP",2015-12-10,Operador de Produçao I,Eu gostava de trabalhar la pena esta crise gerando desempregos.
"Ciudad Juárez, CHH",2015-12-09,Comprador,"La experiencia laboral en esta empresa a diario, es agradable ya que es un lugar tranquilo en su ambiente laboral y todos sus empleados están enfocados profesionalmente.Lo que pude extraer de esta empresa fue a mejorar mi nivel de organización y como tratar con personas de diferentes regiones y culturas para lograr los objetivos requeridos.La gerencia se dedica a tratar y ayudar con las situaciones emergentes en la que los empleados necesitamos ayuda.La parte mas difícil y a su vez la mas gratificante era el hecho de siempre tener una considerable carga de trabajo con la cual estar ocupado siempre."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2015-11-30,Operador de Produção I,"Ambiente de trabalho agradável, colegas de trabalho profissionais, oportunidade de aprender em postos diferentes, boa gerência, benefícios."
"Chihuahua, CHH",2015-11-24,Support Engineer - System Developer,Foxcon is a great company where you can develop your professional path and learn different skills that would help you to grow professionally and personally.
"Tijuana, BCN",2015-11-21,Tecnico programado,"Foxconn es una empresa de gran reconocimiento, ayuda a  mucha gente brindándole trabajo, a que se superen como profesionales, en lo personal me ha ayudado mucho en mi estudios ya que me da la facilidad de un horario flexible para poder asistir con regularidad a la escuela.Lo unico desagradable seria el ambiente que se respira dentro del departamento, existe mucha rivalidad,"
"El Paso, TX",2015-11-17,Organizational Developing and Training,"Good company to lear asian culture, new building process on computers, mix of 3 cultures showing how need to balance labor activities"
"Tijuana, BCN",2015-11-16,tecnico en maquinas y herramientas,la parte que mas me gusta que he tenido la oportunidad de  aprender y superarme
"Chihuahua, CHH",2015-11-13,GERENTE DE MATERIALES,"Inciar el dia con un excelente área laboral, todos enfocados a la labor individual y por equipo, encaminado a la consecución diaria de los KPI´S del departamento.   Aprendi a mejorar mis formas de administración, la dirección y la gerencia fueron muy profesionales en todo el tiempo que labore ahí,entre colegas un ambiente de exigencia diaria,  la parte mas difícil deltrabajo, pues no recuerdo ninguna, las exigencias que se me pidieron en mi puesto las acepte y las cumpli de manera satisfactoria, recuerdo la mejor de ellas, fue la negociación de los materiales en exceso con el cliente SONY ERICSSON DE SUECIA,comproamos demandas de teléfonos satisfactoriamente y solo compartimos cantidades pequeñas de dinero.Lo que mas me gusto fue que labore con personas de diferentes nacionalidades y aprendi costumbres y formas de vivir y pensar, como, la brasileña,Sueca,China,Japonesa,Taiwán y Estadounidense."
"Jundiaí, SP",2015-11-12,Cargo.Operador de produção,"aprendi bastante com a empresa, salario e benefícios, ótimos  só deveria mudar a carga horaria semanal que é mais do que 44 horas trabalhada."
"Jundiaí, SP",2015-11-11,Técnico de Processos,"Empresa dinâmica, agradável de trabalhar, com bons benefícios."
"Jundiaí, SP",2015-11-11,Aux. De Suporte,"Empresa agradável de trabalhar, dinâmica, com ótimas oportunidades."
cehia,2015-11-10,Warehouse Operative,it was a week day in 3 shifts of 12 hours with a brake of one hour. The work rules andcontinuous fire. I quickly evolued and when i did not have pleasant conditions i retired.
"Jundiaí, SP",2015-11-10,Operador I,"Boa de se trabalhar, somente o horarios dos turnos muito cedo.Ambiente bom de trabalho"
"São Paulo, SP",2015-11-09,Operador de Produção I,"aprendi a fazer chamado, o gerente não me ensinava muitas coisas, e quando começou a me ensinar a mexer com nota fiscal, logo parou porque tinha outros afazeres. No escritório era só eu e mais outra pessoas, convivíamos bem, a parte mais difícil era abrir os chamados e no começo era ligar para os clientes para saber se estavam precisando de algo na máquina. E a parte mais agradável é que la era sossegado, a gerencia era legal,  não tem o que reclamar."
"Jundiaí, SP",2015-11-09,Operador de Produção,otima empresa para quem pensa em estudar e crescer. Empresa de grande porte no ramo eletronico.
"Jundiaí, SP",2015-11-07,Analista de testes,"Suporte para Técnicos analise de placas de circuito impresso.Aprendi a coordenar e motivar pessoas.A direção não e muito presente, mais a gerencia é competente.Ambiente e colegas de trabalho são bons.A parte mais difícil são as reuniões diárias com cliente.A parte mais agradável e poder ajudar e treinar as pessoas no ambiente de trabalho."
"Indaiatuba, SP",2015-11-05,operador produção,"O trabalho na Foxconn, foi muito importante pra mim pois aprendi muito, sua metodologia de trabalho me trouxe conhecimento sobre vários assunto que hoje durante meu curso é muito apreciado."
"Jundiaí, SP",2015-11-05,operador de maquinas/ Produção,"A empresa em si é muito boa, respeita os funcionários, realiza os pagamentos em dia.Aprendi muito com a empresa, cresci profissionalmente.Sobre a direção não tenho nada a declarar, colegas de trabalho competentes e prestativos. Empresa muito agradável."
"Shenzhen, CN",2015-11-03,"Senior Specialist (Lead FP&A, Operation)",Not all about the numbers but how I have grown over the past year. The office is located right in the middle of the factory so we got the first hand taste of real manufacturing is like.
"Jundiaí, SP",2015-11-02,Operador de Produção e Lider de Produção,E uma empresa com muita responsabilidade na area de de segurança e tambem na limpesa e qualidade de seus produtos com um otimo controle de qualidade na area de fabricaçao
"Jundiaí, SP",2015-11-01,Operador de Produção II,"é uma empresa onde aprendi muito bons beneficios ,pessoas adoraveis"
"Jundiaí, SP",2015-10-26,Operador de Produção I,"Eu amava trabalhar lá, se eu pudesse ainda estaria  lá. Aprendi muito e fiz vários amigos."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Houston, TX",2015-10-25,debugger,great opportunities everyday day to day.opportunities for a better future.great management to talk to work.excellent co-workers and great team work day to day.great team work to make every hardest work simple and good quality.i'm enjoy going to work everyday to learned and succeed for a better future.
jundiai,2015-10-25,Operador de manufaturas (Almoxarifado),"gostava do que fazia, apresentava um bom desempenho, tinha um bom relacionamento com os colegas de trabalho."
"Indaiatuba, SP",2015-10-21,assistente almoxerifado,"Uma empresa muito boa de se trabalhar, um ambiente organizado e limpo, agradável,os colegas de trabalho uma comunicação muito boa entre eles, a parte mais difícil a instabilidade e muito grande, contrate se muita gente mais a empresa não fica  vence contrato manda tudo de volta  embora."
"Johor Bahru,",2015-10-17,Security Executive,"Day in, day out is same routine. You don't learned but, you are required to teach team. Most enjoyable is when you got to do something."
"Industry, CA",2015-10-16,Engineering Technician,"This place gave me the opportunity of expand my experience in cable development process, was very fun take a challenge every day until get success with the projects, we create an excellent working team, very dedicate personal, multi cultural  and very successful in all projects. excellent coworkers"
"Tijuana, BCN",2015-10-15,almacenista,"aprendí a no rendirme, a estar comprometido con el trabajo, a mejorar cada día y no quedarme estancado."
"Chennai, TN",2015-10-13,Quality Assurance engineer,1st of all i thank to gave this good opportunity to fresh graduates to visit lot of countries.it is good learning school. I learned lot from this organization.The colleagues work culture also excellent. They gave lot of challenges for my past 3 year carrier...
"Research Triangle Park, NC",2015-10-13,Distribution,"The people were really great and the work was satisfying. Immediate management, department manager and general manager, was very supportive of the workers. The higher management just saw us as numbers.The biggest complaint was that no one on the floor saw a raise in the entire 7 years we were employed by Foxconn.  There was also no movement within this part of the company. No jobs were back filled when someone left the business. Eventually this division shut down its operations."
"Cypress, CA",2015-10-09,Product Manager,Project Managerment to assist the Engineer to creat the concept drawing to samples approved by the customer than gain the forecst for arrangement of the mass production.
"Jundiaí, SP",2015-10-08,operador de produção 1,"Ótima empresa pra quem quer trabalhar, não é um trabalho árduo, porem não é fácil manter o ritmo da produção."
"Jundiaí, SP",2015-10-05,Operador de Produção II,adorei trabalhar la .um dia ainda quero voltar.aprendi muitas coisas uteis dias bons de trabalho gerencia pouco a baixo do desejadoalguns colegas eram bons outros nem tanto mais difícil era trabalhar com colegas insatisfeitos com o trabalho porque acabava atrapalhando os outros colegas.oque eu mais gostava era trabalhar com colegas motivados gostava porque o trabalho era bem produtivo.
C30,2015-10-02,Process Engineer /Fixture Engineer,good fun work place with supportive management.good fun work place with supportive management.good fun work place with supportive management.
"Houston, TX",2015-09-30,Test Engineer,Fun but also challenging working environment with good teammates.Most enjoyable of learning new skill set and new products.
"Jundiaí, SP",2015-09-28,auxiliar de producao,"Uma boa empresa responsavel , com os operadores e clientes ,mas como todo brasil está numa fase dificil, demitindo muitos ,pois nada pode fazer ,ja que a produçao diminuiu demais"
"Manaus, AM",2015-09-27,Tecnico de  Engenharia industrial,-Obedecer. nao questionar nada so obeceder nao davam muitas oportunidades para desenvolvimento pessoal.-Mais uma liçao de vida.-Centralizadora e nao dava oportunidades para crescer.-Normais .como todos os brasileiros  muitas duvidas.-Nenhuma parte dificil .normal.-Sempre nos fins de semana.
"Ciudad Juárez, CHH",2015-09-26,Técnico de Pruebas,"Como recién graduada de Ingeniero busco una empresa en la que tenga las posibilidades de ascender de puesto en el que estoy, es decir de técnico a Ingeniero. A decir verdad no comprendo cuales son las virtudes que aquí ven para ascender a alguien como ingeniero. Existe el favoritismo entre áreas. Trabajamos solo una semana, enseguida duramos casi un mes sin trabajo, perdiendo el tiempo o permutas, convenios. Sin embargo agradezco la oportunidad que me dieron, pues no tengo experiencia en una empresa."
"Ciudad Juárez, CHH",2015-09-24,Buyer MRP,"Me gustaría ya encontrar una empresa donde ya me establezca, para terminar mi carrera y hacerme un futuro prometedor.Me gusta aprender cosas nuevas tengo mente abierta para los cambios.Reuniones para revisar metas."
"Jundiaí, SP",2015-09-22,Operador de Produção I,"Convivência entre os colaboradores e gerência sempre alinhados,aprendi uma nova profissão ao qual me senti privilegiado ao ter está oportunidade,as pessoas se dedicam a fazer aquilo que é almejado pela empresa e todos se empenham em fazer seu melhor,realizar testes experimentais em novos produtos ás vezes não é uma tarefa tão simples,trabalhar em diversos setores,conhecer o que cada um faz e entender a importância para todo o processo é uma das melhores que uma empresa pode fornecer a um colaborador."
"Jundiaí, SP",2015-09-21,analista de inventario,"Uma empresa agradavel de se trabalhar, os setores sao muito unidos e cooperativos, gestores com grande competencia tecnica e interpessoal, sempre disposto a buscar algo melhor para sua equipe desde que merececem. A melhor empresa que trabalhei."
"Plainfield, IN",2015-09-19,Labeler,"The work ethic is to much like slavery. They treat they worker bad. The management is terrible, but if your good at the job you can move up."
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Ciudad Juárez, CHH",2015-09-14,Practicante de Ingenieria,"Estuve desarrollando diferentes actividades nuevas para mi, aprendí cosas que no sabia de industrial, tiene un buen ambiente de trabajo, mi supervisor al igual otros ingenieros siempre se mostraron al margen. La parte mas difícil de mi trabajo fue familiarizarme con conceptos de un ingeniero industrial.Lo que mas me gusto que aprendí muchas cosas nuevas, y el ambiente laboral con mis compañeros practicantes y técnicos siempre fue muy bueno."
"Jundiaí, SP",2015-09-14,Operador de Produção I,"A empresa era boa de se trabalhar, o relacionamento com os colegas também, mas a gestão e as oportunidades não."
C30,2015-09-14,Software enginner,"1 A lot of people, and is very busy.2 Let me learn a lot of production process.And how to control the production quality.3 The document is very good. and very detail."
"Indaiatuba, SP",2015-09-12,Assistente Logistica,"A foxconn do Brasil é uma empresa voltada para produção de produtos eletrônicos em geral. Por ser um empresa prestadora se serviços terceirizado, trabalha a merce dos pedidos dos seus clientes isso faz com que  gera muitas contratações e demissões em um curto espaço de tempo. No demais tudo funciona muito bem."
"Ciudad Juárez, CHH",2015-09-12,tecnico de pruebas,contrataron demasiado y al final no sabian que hacer con tantas personas
"Tijuana, BCN",2015-09-09,técnico tj,bueno es una empresa con exelente ambiente de trabajo existe mucho compañerismola rrelacion con los jefes es muy buena
"Santa Clara, CA",2015-09-09,"Technician - Test Operator , Assembler.",Poor benefit and review your work..some people work over 8 yrs without benefit . Good for senior and slow peace work seeker .
"Ciudad Juárez, CHH",2015-09-09,Master Scheduler,La experiencia del Servicio al Cliente en reuniones diarias fue muy satisfactoria.
"Houston, TX",2015-09-09,Debugger,"Warehouse stay hot, no good training or good pay with no benefits it's like working in another foreign country. I would not recommend this job to anyone."
"Ciudad Juárez, CHH",2015-09-05,Tecnico de Calidad NPI,"El trabajo en esta empresa es muy cálido y divertido, también se cuentan con todas las medidas de seguridad e higiene apropiadas para todo el personal."
jundiai sp,2015-09-04,operador de producao,"é uma empresa para trabalhar e fazer amigos, porem voce nao tem uma estabilidade boa"
"Jundiaí, SP",2015-09-03,Operador de Empilhadeira,"A Foxconn é uma empresa maravilhosa que tive a oportunidade de fazer parte do quadro de funcionários, várias atividades para serem exercidas em cada setor, dando uma oportunidade de aprendizagem aos funcionários.Eu tive a oportunidade e aprendi muitas coisas com o sistema Sap logon, para atividades no armazém. Gerência e liderança sempre orientando para realizarmos o trabalho com eficácia, assim garantido a qualidade do produto ao cliente. Colegas do trabalho com espirito de equipe, sempre ajudando uns aos outros."
"Jundiaí, SP",2015-09-03,Operador de Produção,"O trabalho de forma geral, foi dinâmico, embora sobre pressão era fácil executar as atividades. Ajudou a proatividade, trabalhar de forma organizada, rápida, com eficiência e qualidade. Foi de fácil acesso o contato com a gerência. Por ser um trabalho em equipe, as pessoas eram agradáveis e de boa comunicação o que facilitou a compreensão e ajuda mútua na atividades. A repetitividade no trabalho era o que dificultava, com poucas mudanças e promoção, portanto o trabalho em geral foi agradável."
"Jundiaí, SP",2015-09-02,operador de manufatura,"Uma empresa boa de se trabalhar, otimos beneficios, as pessoas era legais de se trabalhar e o ambiente agradavel"
"Houston, TX",2015-09-01,Dock Supervisor,I liked the AC in the warehouse. people really did not care about the task at hand. my 2 helper's did what they wanted not what they were told
"Houston, TX",2015-08-30,Receiving and Forklift Truck Operator.,"My job as Receiving, gave me the opportunity to know the work of Ware House, we had free time for lunch, my colleagues were very supportive in all areas, I was able to do the courses Forklift Truck Operator."
"Houston, TX",2015-08-27,"Assembler, Logistics",The assembly line was an experience to remember. I enjoyed it. It made me a hard worker. I developed a few skills to take with me from this job.
"Chihuahua, CHH",2015-08-26,Consultant,"The cell phone industry is one of bitter competition, and Foxconn takes on work that is almost impossible to complete in a way that brings satisfaction. This plant cannot negotiate key conditions for its work, and is basically a pawn in a larger game played between the FoxConn HQ in Asia and major players such as Motorola. This is a place to get pay, but not to expect satisfaction in a good day's work."
cd juarez chihuahua,2015-08-26,Data entry,"Soy amable pero de mui palabras asi que lo que puedo desir de mi trabajo esque me permitio darme cuenta de lo que puedo aprender y dominar cuando me esfuerzo , atencion , dedicacion y consentracion en lo que ago.Al principio me parecio dificil el Sap pero es mui facil aunque mia compañeros y jefes digan que no. ami me gusta mi trabajo mis compañeros siempre son respetupsos con migo.lo dificil de mi trabajo es la presion y el mal humor de mis jefes pues ellos cargan la respondsabilidad del partamento y se presionan mucho pero solo hay que hacer las cosas bien y rapido para que todo fluilla rapido , nada mas .El motivo de separación es porque no había un cambio de  cambio de turno favorable para  mi simpre estube en el 3er turno ya que ese departamento no rotaba el personal ni contrataba para el mismo ."
"Tijuana, BCN",2015-08-25,almacenista,"un día típico en el trabajollego a mi lugar de trabajo enciendo el pc bajo la información del sistema de los materiales a contar,una vez contados se compara con el sistema para determinar si hay o no discrepancias, si las hayse analizaran a detalle con el fin de solucionarlas en el transcurso del día.Libero los work orders de producción en el transcurso del día,hago las simulaciones de los materiales que va a necesitar producción para que no paren en el transcurso del día,eso es algo de un típico día de trabajoLo que aprendíAprendí a trabajar en equipo,respetar amis compañeros,hacer una persona mas responsable,hacer el trabajo bien y ala primera,la importancia de los materiales y la responsabilidad que conllevamis colegasSon la parte fundamental del equipo tanto laboral como personalya que sin ellos seria muy difícil tener buenos resultados La parte difícil del trabajoEs cuando salían las discrepancias y teníamos que analizar como se dio y porque sucedió el problema, este punto es muy estresante y cansado, ya que por lo regular era material el cual teníamos millones de piezas cargadas por sistemaLo que mas me gusto del trabajoEl ambiente de trabajo,y algunas de mis actividades laborales(manejo de excel y la pc)"
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Jundiaí, SP",2015-08-25,Aprendiz,"Foi uma empresa que contribuiu muito para meu desenvolvimento profissional e pessoal, desenvolvi novas habilidades, responsabilidades e atitudes diante das mais variadas situações.O ambiente era sempre agradável, havia uma boa interação entre os funcionários de todas as áreas e funções. Provavelmente a parte mais difícil foi não conseguir a efetivação após o contrato de aprendiz pelo motivo de que minha função exercida deveria ser apenas para aprendizes. A parte mais agradável acredito ter sido a convivência, o conhecimento que adquiri e as contribuições que deixei."
"Chennai, TN",2015-08-25,Production Planner & Controller,It was really very jolly and fun filling life at Foxconn .At this company i had more memorable things in my life .Over all it was great time i had that company
"Jundiaí, SP",2015-08-17,Técnico de Teste Jr.,"Muito boa empresa, so a parte de beneficios deixa um pouco a desejar. fora isso sem contras"
"Ciudad Juárez, CHH",2015-08-14,Recursos Humanos,Dia tipico es cuando llegaba y me sentaba a realizar mis reportes.Aprendi a escuchar mucho mas a le gente ya que es un puesto donde se trata con todo el personal.La direccion es un poco confusa ya que no hay nada seuro.Mis colegas fueron un poco misteriosos por la razon que te decian algo y hacian otra.Lo mas dificil fue querer meter mas a la empresa con un sueldo digno del empleado.Lo que me mas me gusto que era muy querido en el area de produccion ya que me gusta ayudar a la gente siempre.
"Jundiaí, SP",2015-08-13,Operador de Produção,Uma empresa ótima de trabalhar.Como foi a primeira empresa de porte grande que trabalhei absorvi muitos conhecimentos.
"Houston, TX",2015-08-12,Pack out operator,Working in this school help me to judge the ideology of workers. This is really a place for developing skill and potentials in a computer field
"Jundiaí, SP",2015-08-07,operador de manufatura,"muito legal se relacionar bem com todos os colegas,num ambiente assim é gostoso trabalhar porque o trabalho em equipe evolui mais rapidamente.Sempre fui assim nas empresas anteriores.Aprendi muitas coisas  com a empresa e o pessoal colaboradores.Sempre atualizada ao processo de qualidade e 5S ,nas qual a empresa nos mantinha sempre ligados.A  parte mais difícil é quando a equipe falha , todos pagamos , mais recuperamos logo.Tive bons chefes pessoas que foram muito capazes de nos ajudar.Fui muito Feliz nas empresas nas quais já colaborei... gosto muito de compromisso...espero uma nova oportunidade  e tmb aprender gosto de desafios ."
"Jundiaí , SP",2015-08-06,Analista de Processos Sr,"- Reunião pela manhã para para verificar a causa e ação para os problemas que acontecem diariamente em cada produto.- O aprendizado foi de como introduzir cada projeto novo na empresa.- A Gerencia e Diretoria te dá oportunidade para participar de novas tecnologias.-Time muito bom para trabalho em grupo.-A parte mais difícil é quando você tem um problema e você não encontra a causa raiz , então você precisa trabalhar em conjunto com o time da China para resolvê-lo.-É você introduzir o novo projeto ou produto e treinar cada operador de como e os cuidados de como executá-lo."
"Jundiaí, SP",2015-08-05,produçao,"muito bom trabalhar e ser reconhecida pelo seu trabalho.O trabalho em equipe e muito bom porque, um ajuda o outro no que for preciso,o ambiente de trabalho e muito agradavel e tranquilo para trabalhar.E a equipe e muito boa  que trabalha na empresa. foi muito bom trabalha nesta empresa."
Jundiaí - SP,2015-08-05,Controlador de Materiais,"A Foxconn é uma empresa que oferece oportunidade de crescimento interno, um bom salário, e ótimos benefícios. Uma empresa na qual eu aprendi muito, aprimorei meus conhecimentos com planilhas em Excel, aprendi muito sobre o sistema de gerenciamento SAP e WMS."
jundiai-SP,2015-08-05,OPERADOR MANUFATURAMENTO,Empresa ótima de se trabalhar pois tem muitas oportunidades de crescimento
ciudad juarez chihuhua,2015-08-04,materialista,lo que mas me gustaba en foxconn era los tiempos extras que casi siempre daban
"Jundiaí, SP",2015-08-04,Operador de Produção I,Ambiente Agradavel .Aprendi como trabalhar em equipeGerencia Boa.Amizades DuradourasHorário Muito Cedo.A parte agradavel era as cias.
"Houston, TX",2015-08-04,tester -repair assembly units,tester boards-assembly complete units.having experiences when repair many units.sometimes need co- worker help so i can have more experiences.after complete some units very happy
"Tijuana, BCN",2015-08-02,tecnico en mantenimiento,"buen ambiente de trabajo ,aprendi a varios cursos contra incendios asi como rescate lo malo es el sueldo y no hay cresimiento laboral en el depto que trabajaba"
"Houston, TX",2015-08-02,SMT Operator,busy production line with production goal to meet on daily basis.workes and support people are supportive to keep line runiing smoothly.
"Jundiaí, SP",2015-07-31,Operador de Produção I,"Gostei muito de trabalhar nesta empresa,sinto muito por ter tido que sair por motivos pessoais."
"Durham, NC",2015-07-31,Inventory Associate,"Not Team members, no communication.  Do not feel as if I have accomplished anything all day by shrink wrapping/banding pallets."
"chihuahua,chih",2015-07-30,Ingeniero de manuafctura Sr,Se trabajo mucho en equipo con herramientas que los gerentes te proporcionan para llegar ser exitoso en el futuro
"Jundiaí, SP",2015-07-30,Gerente de Custos,Empresa focada em resultados e agrega excelentes profissionais.
"Plainfield, IN",2018-09-25,Material Management Specialist,"Identified priorities, analyzed information and found solutions quickly were I learned here, a fast-paced and stressful work environment. The Manager was glad to help and communicate at work."
"Chennai, TN",2015-07-30,TECHNICIAN,Handling the Shift setting & operating the CNC wirecutting machine & EDM drill machine also material arrangements conducting the meeting on every day regarding production control
"San Jose, CA",2015-07-23,Cost Accountant,"The accounting management team in USA - unable to identify the real problems and publicly yell and belittle at employees out of frustration. Very little regard for their staffs. The department’s issues along with their troubles of finding good employees. It seems clear that the management is the problem. Plus working very long hours everyday!!! If you want a career, stay away from Foxconn."
Jundiai - SP,2015-07-22,OPERADORA DE EMPILHADEIRA,"Gostava muito do meu emprego, era bom, todos eram amigáveis.Aprendi muito la, e ate mudei meu comportamento."
"Indaiatuba, SP",2015-07-20,Lider de Produção,"Otimo bom dia a tods com objetivo hoje alcaçarei a meta desejada e com certeza todos os dias chego no resultado desejado foi minha melhor experiência. Aprendi  que todos tem objetivos e metas a ser realizadas, e nada melhor de que saber que mesmo com obstaculos você alcançou resultado , aprendi como lidar com pessoasde diversos generos e entende-lase ensina-la a amar o seu trabalhosMeus colegas de trabalho se torna afetivo porém profissional, enxergando que com estabilidade e reconhecimento você será satifatório para empresa e terá grande sucesso e desenvolvimento. Quando você aprende a abraçar o trabalho difícil ao invés de fugir dele, você ganha a habilidade de executar seus grandes objetivos. A parte mais agradávell foi  espontaneidade e sempre sorrindo mostrando,sempre com motivação sempre sendo a melhor linha com 0% de prejuizos de danificação de peças aprovação da qualidade sem nenhuma não comforme e destacando-se pela chefia com premiação e reconhecimento."
"Houston, TX 77070",2015-07-17,Export Coordinator,"It is OK, It could be better, That is why I am looking to see what is out there. A typical day is all day filing AES in a cubical, it is pretty straight forward."
"Kutna Hora, Czech Republic",2015-07-17,production operator,"An enjoyable experience,  I've learned a lot about assembly a industrial servers and also had a great time working as part of a team."
Jundiai,2015-07-16,Operadora de qualidade,"Iniciava minha jornada de trabalho as 6:00 da manha, e terminava as  15:30 da tarde.trabalhava no final da linha de produção, onde após os aparelhos celulares serem montados eram liberados para a qualidade e ai fazíamos inspeção e os testes funcionais e depois liberavámos para a embalagem."
"Santa Clara, CA",2015-07-16,Mechanical Technician,"The company has productive, good working condition. The co-workers are friendly. What I could learn from the company is team-work. The working was not stress."
"Jundiaí, SP",2015-07-15,operador de produção 1,"o trabalho era bom mas a empresa não garante efetivação,havia corte de funcionários semanalmente,40min apenas de refeição."
"Jundiaí, SP",2015-07-13,Operador de Produção I,"Era uma metalúrgica, fazia montagem de tablets, lá eu fazia inspeção e abastecimento de componentes para as linhas de produção; A equipe era boa para se trabalhar, os benefícios ótimos;"
"Jundiaí, SP",2015-07-10,Aprendiz,"Apesar do pouco tempo, foi um crescimento e um aprendizado muito importante para minha vida pessoal e profissional."
"San Jose, CA",2015-07-10,Cost Accounting,"The accounting management team unable to identify the real problems and publicly yell and belittle at employees out of frustration. Very little regard for their staffs. The department’s issues along with their troubles of finding good employees. It seems clear that the management is the problem. Plus working very long hours everyday!!! If you want a career, stay away from Foxconn."
"Houston, TX",2015-07-10,Quality Engineer,"Foxconn gives great exposure to fresh graduates. The org structure is flat. All the work is hands-on. You are responsible for your work. A typical work day is about 10 hrs long, although during quarter ends it can go upto 15. The hardest part is maintaining steady performance of production operators. Everyday is a new challange"
